customer_id,credit_score,geography,gender,age,tenure,balance,num_products,has_cr_card,is_active_member,estimated_salary,exited
1,476,France,Female,51,9,132165.97,1,1,0,49221.22,0
2,698,Spain,Female,36,9,8554.3,1,1,1,135478.1,0
3,478,France,Male,24,5,0.0,2,0,1,90063.29,0
4,686,France,Male,47,7,120968.47,2,0,0,29107.36,0
5,724,France,Female,62,8,115350.18,2,1,0,22200.12,0
6,601,France,Male,18,4,0.0,1,1,0,156540.08,0
7,671,Germany,Female,46,1,0.0,1,0,1,125925.24,0
8,699,Spain,Female,42,6,0.0,1,1,0,32066.66,0
9,467,Spain,Male,40,9,0.0,2,1,0,55154.14,0
10,619,Germany,Female,40,10,0.0,1,0,1,127394.41,0
11,587,France,Male,21,6,175115.71,1,0,0,163727.65,0
12,800,Germany,Female,28,10,0.0,1,0,1,47452.11,0
13,460,Germany,Male,60,8,0.0,1,1,0,82590.95,0
14,683,France,Male,39,1,0.0,2,0,1,100785.16,0
15,705,France,Male,38,0,0.0,1,0,1,91547.54,0
16,733,France,Female,33,10,12464.33,2,1,1,11390.16,0
17,572,France,Male,43,0,0.0,2,0,1,19150.08,0
18,839,Germany,Female,70,3,115874.63,1,1,0,133745.96,0
19,758,France,Male,55,3,0.0,2,0,0,6745.01,0
20,507,Germany,Male,56,1,94235.26,4,1,1,165637.2,0
21,604,France,Female,32,6,84508.64,2,1,0,151895.14,1
22,784,Spain,Female,19,5,19631.89,1,1,1,71127.2,0
23,675,Spain,Male,61,2,0.0,2,0,1,16098.98,0
24,744,Germany,Male,42,10,0.0,1,1,1,90156.08,1
25,515,Germany,Female,49,7,180370.78,1,0,1,44897.37,0
26,850,Germany,Male,61,9,21070.17,1,1,0,130383.28,0
27,656,France,Male,28,2,115618.44,1,1,0,68733.72,0
28,644,Spain,Male,35,1,66588.83,1,1,1,77911.61,0
29,704,France,Female,44,5,107440.68,2,1,1,94555.87,0
30,686,Germany,Female,31,0,200991.88,2,1,0,131655.66,0
31,609,France,Male,35,5,44893.26,1,0,1,165597.94,0
32,722,Germany,Male,25,5,132840.82,3,1,0,50149.93,0
33,776,Germany,Female,33,9,80966.97,2,0,0,69174.71,0
34,743,Germany,Female,49,8,0.0,1,1,1,106563.46,0
35,569,France,Female,36,0,129069.88,2,1,0,150422.38,0
36,746,France,Female,42,1,169878.67,2,1,0,17322.93,0
37,562,Germany,Female,37,6,0.0,2,0,0,168222.35,0
38,591,France,Female,32,2,11544.95,2,0,1,12994.94,0
39,679,Spain,Male,36,9,0.0,1,1,0,114607.14,0
40,755,Germany,Male,24,5,31619.29,1,1,1,169130.73,0
41,629,France,Female,52,3,0.0,2,1,0,133527.24,0
42,781,France,Male,41,6,177959.84,2,0,0,7506.8,0
43,630,France,Male,42,0,0.0,2,0,0,157998.3,0
44,752,Spain,Male,54,8,250000.0,2,1,1,134506.39,0
